,Model,model,train_mae,train_rmse,test_mae,test_rmse
133,RandomForest_Close_60,RandomForestRegressor(),24.19332519097515,39.52603676875323,66.10150159744396,103.87773738457281
134,GradientBoosting_Close_60,GradientBoostingRegressor(),60.4666773010804,87.41166287160428,75.16610900642516,112.42004936980481
135,SVR_Close_60,SVR(),3664.487922664006,5554.286255277084,3489.5149284124186,5189.865608427753
136,KNN_Close_60,KNeighborsRegressor(),43.26274649138392,68.94308101592232,56.72471246006394,89.59035682985619
137,XGBoost_Close_60,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             feature_weights=None, gamma=None, grow_policy=None,
             importance_type=None, interaction_constraints=None,
             learning_rate=None, max_bin=None, max_cat_threshold=None,
             max_cat_to_onehot=None, max_delta_step=None, max_depth=None,
             max_leaves=None, min_child_weight=None, missing=nan,
             monotone_constraints=None, multi_strategy=None, n_estimators=None,
             n_jobs=None, num_parallel_tree=None, ...)",30.564083678516116,41.56189345512412,71.36481194541861,116.07406564336175
138,LightGBM_Close_60,LGBMRegressor(verbosity=0),49.03016987633086,70.83406534782036,70.61170538625629,110.96165648977218
139,RNN_Close_60,"<Sequential name=sequential_40, built=True>",7573.089128973996,9828.622890608749,7091.083870533708,9315.040767572227
140,LSTM_Close_60,"<Sequential name=sequential_41, built=True>",7831.38634729675,10028.99601610451,7349.381088856462,9513.144402973725
141,GRU_Close_60,"<Sequential name=sequential_42, built=True>",7721.5053429632535,9943.42967651626,7239.500084522966,9428.513961192259
142,Bidirectional_LSTM_Close_60,"<Sequential name=sequential_43, built=True>",7710.791875318024,9935.112494407244,7228.78661733024,9420.29033311499
143,LinearRegression_Close_90,LinearRegression(),61.54807315172549,99.10928093463163,59.3667190256945,96.0514780061101
144,Ridge_Close_90,Ridge(),61.54807313090207,99.1092809346317,59.366718871199154,96.05147776392693
145,Lasso_Close_90,Lasso(),158.15169905954752,241.04091469748064,151.25324433087457,218.74988663916506
146,RandomForest_Close_90,RandomForestRegressor(),24.31265003570147,40.01734966258341,59.85489727126849,99.21885420734104
147,GradientBoosting_Close_90,GradientBoostingRegressor(),60.944377772757676,87.78152900934792,68.99670122510678,106.51959819676838
148,SVR_Close_90,SVR(),3665.431446523159,5542.201594060495,3563.1908586664217,5375.50819264497
149,KNN_Close_90,KNeighborsRegressor(),43.12410389146734,68.89124787745408,55.42781701444618,85.30038314972305
150,XGBoost_Close_90,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             feature_weights=None, gamma=None, grow_policy=None,
             importance_type=None, interaction_constraints=None,
             learning_rate=None, max_bin=None, max_cat_threshold=None,
             max_cat_to_onehot=None, max_delta_step=None, max_depth=None,
             max_leaves=None, min_child_weight=None, missing=nan,
             monotone_constraints=None, multi_strategy=None, n_estimators=None,
             n_jobs=None, num_parallel_tree=None, ...)",30.060056630427063,40.95142885089774,71.78270228402762,111.7860864521571
151,LightGBM_Close_90,LGBMRegressor(verbosity=0),47.82777795841029,69.24851678158645,63.79452327325176,102.56935209932307
152,RNN_Close_90,"<Sequential name=sequential_44, built=True>",7586.600025587481,9830.701433927434,7289.36193556686,9544.518152307794
153,LSTM_Close_90,"<Sequential name=sequential_45, built=True>",7854.561703826513,10038.94069533503,7557.323614036595,9750.700976192189
154,GRU_Close_90,"<Sequential name=sequential_46, built=True>",7740.560537445712,9949.998399324902,7443.322447486252,9662.612398688065
155,Bidirectional_LSTM_Close_90,"<Sequential name=sequential_47, built=True>",7736.168736549277,9946.582199249797,7438.930646628781,9659.229704674071
156,LinearRegression_Close_120,LinearRegression(),60.88109836238145,98.05069365044409,63.61127783559364,103.14889833220879
157,Ridge_Close_120,Ridge(),60.88109835078446,98.0506936504441,63.61127759165109,103.14889807119562
158,Lasso_Close_120,Lasso(),166.91184915215902,247.68773254911767,162.72488077081545,259.1397548957374
159,RandomForest_Close_120,RandomForestRegressor(),24.286770403587518,39.76325377584859,63.765124193548445,102.72110548849777
160,GradientBoosting_Close_120,GradientBoostingRegressor(),60.84210241545919,87.69335588681889,72.41474423633065,110.28176410974802
161,SVR_Close_120,SVR(),3672.5993327653014,5540.925624082869,3645.147506543486,5460.423771729591
162,KNN_Close_120,KNeighborsRegressor(),43.45284843049328,69.21504424624005,58.918967741935525,93.03401991363332
163,XGBoost_Close_120,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             feature_weights=None, gamma=None, grow_policy=None,
             importance_type=None, interaction_constraints=None,
             learning_rate=None, max_bin=None, max_cat_threshold=None,
             max_cat_to_onehot=None, max_delta_step=None, max_depth=None,
             max_leaves=None, min_child_weight=None, missing=nan,
             monotone_constraints=None, multi_strategy=None, n_estimators=None,
             n_jobs=None, num_parallel_tree=None, ...)",29.89065542233043,40.444310963481335,74.60755239179059,119.22929520425357
164,LightGBM_Close_120,LGBMRegressor(verbosity=0),46.62631797512786,66.56666363262772,66.95312411895074,109.85341611388499
165,RNN_Close_120,"<Sequential name=sequential_48, built=True>",7623.473110770872,9852.084652347048,7298.754289275139,9607.220393224206
166,LSTM_Close_120,"<Sequential name=sequential_49, built=True>",7829.98991105344,10012.740470449357,7505.271089817171,9765.037820315047
167,GRU_Close_120,"<Sequential name=sequential_50, built=True>",7757.071163749388,9955.821551526426,7432.352342253655,9709.10556375685
168,Bidirectional_LSTM_Close_120,"<Sequential name=sequential_51, built=True>",7806.197279617105,9994.145569655404,7481.478458409463,9746.763021772442
169,LinearRegression_Close_150,LinearRegression(),61.31159075785148,97.39031250569192,66.15796283078537,107.52547709578381
170,Ridge_Close_150,Ridge(),61.31159070990227,97.39031250569201,66.15796265272424,107.5254768119944
171,Lasso_Close_150,Lasso(),164.25394938071474,245.55161295460678,164.70142778261604,248.24729195641925
172,RandomForest_Close_150,RandomForestRegressor(),24.27978001081478,39.73817346284313,65.40359967585125,107.0783776907219
173,GradientBoosting_Close_150,GradientBoostingRegressor(),60.930854956586224,87.31878496201341,73.81815590555918,114.40856095422666
174,SVR_Close_150,SVR(),3700.8175789471234,5572.494742657354,3510.0027304979153,5207.5274733814285
175,KNN_Close_150,KNeighborsRegressor(),43.43682227829851,69.52128391283476,57.14168557536462,95.56108806595952
176,XGBoost_Close_150,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             feature_weights=None, gamma=None, grow_policy=None,
             importance_type=None, interaction_constraints=None,
             learning_rate=None, max_bin=None, max_cat_threshold=None,
             max_cat_to_onehot=None, max_delta_step=None, max_depth=None,
             max_leaves=None, min_child_weight=None, missing=nan,
             monotone_constraints=None, multi_strategy=None, n_estimators=None,
             n_jobs=None, num_parallel_tree=None, ...)",28.852585899391528,39.270942369357485,79.07887623692642,128.61807973186356
177,LightGBM_Close_150,LGBMRegressor(verbosity=0),45.62261464462605,65.20640252068584,66.49530463271687,106.16212971006264
178,RNN_Close_150,"<Sequential name=sequential_52, built=True>",7663.238399364249,9897.966191160538,7254.292009627529,9420.282260388298
179,LSTM_Close_150,"<Sequential name=sequential_53, built=True>",7892.875859260147,10076.805112247475,7483.929469813714,9598.237629654224
180,GRU_Close_150,"<Sequential name=sequential_54, built=True>",7835.95338044335,10032.281761212047,7427.006990706631,9553.920564064043
181,Bidirectional_LSTM_Close_150,"<Sequential name=sequential_55, built=True>",7816.224788639919,10016.879848575087,7407.27839893607,9538.592064965482
182,LinearRegression_Close_200,LinearRegression(),61.289256058646785,95.78772643214488,65.9126972051455,118.18261345003773
183,Ridge_Close_200,Ridge(),61.28925598286128,95.78772643214492,65.91269711305785,118.18261320165269
184,Lasso_Close_200,Lasso(),167.53582088728666,248.45147634251717,168.79941116595472,250.49106636975094
185,RandomForest_Close_200,RandomForestRegressor(),24.428554424859108,38.932695451486666,67.32684640522889,126.79273671926727
186,GradientBoosting_Close_200,GradientBoostingRegressor(),60.6261185482585,86.29701419902656,79.83599338857152,133.5524798499893
187,SVR_Close_200,SVR(),3700.1300007399377,5563.20664839063,3682.506301749649,5429.065100707375
188,KNN_Close_200,KNeighborsRegressor(),43.250443394512104,68.07922525032939,57.04040849673207,95.45062065195368
189,XGBoost_Close_200,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             feature_weights=None, gamma=None, grow_policy=None,
             importance_type=None, interaction_constraints=None,
             learning_rate=None, max_bin=None, max_cat_threshold=None,
             max_cat_to_onehot=None, max_delta_step=None, max_depth=None,
             max_leaves=None, min_child_weight=None, missing=nan,
             monotone_constraints=None, multi_strategy=None, n_estimators=None,
             n_jobs=None, num_parallel_tree=None, ...)",29.112387827520212,39.57038068364725,75.71170468797872,140.54565533489833
190,LightGBM_Close_200,LGBMRegressor(verbosity=0),44.98853531414407,63.57533031518634,68.35577046265253,126.10576552309803
191,RNN_Close_200,"<Sequential name=sequential_56, built=True>",7694.189853002321,9910.02435234362,7579.119882062525,9766.290542701727
192,LSTM_Close_200,"<Sequential name=sequential_57, built=True>",7933.9370922609205,10097.295823063825,7818.867121568069,9953.494653829537
193,GRU_Close_200,"<Sequential name=sequential_58, built=True>",7861.98305214534,10040.856669700535,7746.913081265118,9897.072044057824
194,Bidirectional_LSTM_Close_200,"<Sequential name=sequential_59, built=True>",7900.004428605237,10070.65514931738,7784.934457557029,9926.861401384218
195,LinearRegression_Close_250,LinearRegression(),61.625298125360274,96.82620914184972,68.60528603388238,105.06266911786197
196,Ridge_Close_250,Ridge(),61.62529804082218,96.8262091418497,68.60528579577141,105.06266887096021
197,Lasso_Close_250,Lasso(),221.51691381983858,331.082885510803,223.17628950798112,344.63856867796426
198,RandomForest_Close_250,RandomForestRegressor(),24.370904543788793,40.249497415327156,66.52526606260314,103.9426290548142
199,GradientBoosting_Close_250,GradientBoostingRegressor(),60.78753940335448,86.93167747057483,76.84067549217669,111.53307073806423
200,SVR_Close_250,SVR(),3727.9462953163,5583.119526025327,3490.8495411665663,5218.403880605144
201,KNN_Close_250,KNeighborsRegressor(),44.072539391718585,70.27147867708169,57.53861614497534,87.78683374090738
202,XGBoost_Close_250,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             feature_weights=None, gamma=None, grow_policy=None,
             importance_type=None, interaction_constraints=None,
             learning_rate=None, max_bin=None, max_cat_threshold=None,
             max_cat_to_onehot=None, max_delta_step=None, max_depth=None,
             max_leaves=None, min_child_weight=None, missing=nan,
             monotone_constraints=None, multi_strategy=None, n_estimators=None,
             n_jobs=None, num_parallel_tree=None, ...)",27.641637953230205,37.71630470599442,73.93347218244828,110.68111839098674
203,LightGBM_Close_250,LGBMRegressor(verbosity=0),44.809328563866266,63.60986714144626,69.03580697623576,105.02383662690957
204,RNN_Close_250,"<Sequential name=sequential_60, built=True>",7785.206237607336,9987.462282922801,7338.804375355956,9478.49294198033
205,LSTM_Close_250,"<Sequential name=sequential_61, built=True>",7986.383149232232,10145.061975150355,7539.981286988111,9635.097123700372
206,GRU_Close_250,"<Sequential name=sequential_62, built=True>",7953.064636044836,10118.853877580816,7506.662773793456,9609.045987551714
207,Bidirectional_LSTM_Close_250,"<Sequential name=sequential_63, built=True>",7928.0956271682135,10099.240909927628,7481.693764871665,9589.552668207833
208,LinearRegression_High_30,LinearRegression(),51.70891860251159,84.33452382633895,46.97174365244455,81.33601459176855
209,Ridge_High_30,Ridge(),51.708918653828476,84.334523826339,46.97174376787704,81.33601490226725
210,Lasso_High_30,Lasso(),121.77593211091174,185.82418913341044,117.4999249380114,186.68810931433273
211,RandomForest_High_30,RandomForestRegressor(),20.954454826732736,34.51716429323822,51.951686804451505,87.63185069825944
212,GradientBoosting_High_30,GradientBoostingRegressor(),53.49042219638437,77.8549023581694,62.96909140293308,97.39779271775004
213,SVR_High_30,SVR(),3656.86475983068,5549.223510043746,3552.1282483032433,5377.452348667944
214,KNN_High_30,KNeighborsRegressor(),42.64642857142855,68.66916875356445,56.93303656597774,89.679421194004
215,XGBoost_High_30,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             feature_weights=None, gamma=None, grow_policy=None,
             importance_type=None, interaction_constraints=None,
             learning_rate=None, max_bin=None, max_cat_threshold=None,
             max_cat_to_onehot=None, max_delta_step=None, max_depth=None,
             max_leaves=None, min_child_weight=None, missing=nan,
             monotone_constraints=None, multi_strategy=None, n_estimators=None,
             n_jobs=None, num_parallel_tree=None, ...)",30.635173248334173,42.24545845687806,60.64511790556066,100.75931631732048
216,LightGBM_High_30,LGBMRegressor(verbosity=0),46.17077569943641,67.709515913289,56.11088272319872,94.39302674939213
217,RNN_High_30,"<Sequential name=sequential_64, built=True>",7595.570954871278,9851.31813886133,7076.385773539581,9422.19932198866
218,LSTM_High_30,"<Sequential name=sequential_65, built=True>",7828.287759510563,10031.842312675537,7309.102578165271,9598.207381792537
219,GRU_High_30,"<Sequential name=sequential_66, built=True>",7762.089159572444,9980.270489834731,7242.903978293803,9547.893090779105
220,Bidirectional_LSTM_High_30,"<Sequential name=sequential_67, built=True>",7723.562823315287,9950.336356590798,7204.377642181834,9518.70062762901
221,LinearRegression_High_45,LinearRegression(),51.0391329616768,83.61643681288909,53.44070087134387,87.04724409415772
222,Ridge_High_45,Ridge(),51.03913296068505,83.61643681288916,53.44070066853854,87.04724349820148
223,Lasso_High_45,Lasso(),127.18027238564888,195.6220951142437,124.69104422997509,195.63311980202488
224,RandomForest_High_45,RandomForestRegressor(),20.73938986354779,34.1448752334992,55.551117224880414,87.90742498743951
225,GradientBoosting_High_45,GradientBoostingRegressor(),53.79528261732357,77.67793153837857,64.9992953877149,98.05584529075043
226,SVR_High_45,SVR(),3638.303848851598,5531.241026845224,3834.6067922869806,5772.335772113684
227,KNN_High_45,KNeighborsRegressor(),38.32932659932659,61.67294384980487,52.42652312599681,86.52092739351271
228,XGBoost_High_45,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             feature_weights=None, gamma=None, grow_policy=None,
             importance_type=None, interaction_constraints=None,
             learning_rate=None, max_bin=None, max_cat_threshold=None,
             max_cat_to_onehot=None, max_delta_step=None, max_depth=None,
             max_leaves=None, min_child_weight=None, missing=nan,
             monotone_constraints=None, multi_strategy=None, n_estimators=None,
             n_jobs=None, num_parallel_tree=None, ...)",28.75901875716457,39.61387729802071,63.19081832666715,97.02231252667589
229,LightGBM_High_45,LGBMRegressor(verbosity=0),44.42348998121195,65.51645471817768,59.65292418394941,93.47590188655141
230,RNN_High_45,"<Sequential name=sequential_68, built=True>",7545.1884799025065,9796.325464309408,7677.805412358189,10038.679001029828
231,LSTM_High_45,"<Sequential name=sequential_69, built=True>",7787.892932703781,9984.45790880674,7920.509865225712,10225.50031323031
232,GRU_High_45,"<Sequential name=sequential_70, built=True>",7719.647342253163,9931.318064262212,7852.2642746872125,10172.729937183229
233,Bidirectional_LSTM_High_45,"<Sequential name=sequential_71, built=True>",7722.453907479248,9933.499773279562,7855.070839675343,10174.896462496756
234,LinearRegression_High_60,LinearRegression(),51.52222468463129,84.22372210941079,49.883383236509104,80.41709862413023
235,Ridge_High_60,Ridge(),51.52222470932264,84.22372210941087,49.88338327056588,80.41709879522506
236,Lasso_High_60,Lasso(),148.03533106411118,224.93066274237324,128.54084510791623,198.61080128387624
237,RandomForest_High_60,RandomForestRegressor(),20.69365002664771,34.02107186239164,53.31400559105448,86.28476239669581
238,GradientBoosting_High_60,GradientBoostingRegressor(),52.82086947941509,75.62412043613597,63.3752037526408,94.31798615238678
239,SVR_High_60,SVR(),3683.91879287979,5581.33315028437,3509.913301541554,5215.770124071541
240,KNN_High_60,KNeighborsRegressor(),36.85089891632618,58.3335888587827,52.81908945686901,82.674611689751
241,XGBoost_High_60,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             feature_weights=None, gamma=None, grow_policy=None,
             importance_type=None, interaction_constraints=None,
             learning_rate=None, max_bin=None, max_cat_threshold=None,
             max_cat_to_onehot=None, max_delta_step=None, max_depth=None,
             max_leaves=None, min_child_weight=None, missing=nan,
             monotone_constraints=None, multi_strategy=None, n_estimators=None,
             n_jobs=None, num_parallel_tree=None, ...)",28.272810046883325,38.97919489318345,62.81064821675941,100.13935656929804
242,LightGBM_High_60,LGBMRegressor(verbosity=0),42.8870304245426,62.301911517998015,58.306428911290794,94.20885617298283
243,RNN_High_60,"<Sequential name=sequential_72, built=True>",7623.949965781711,9884.365998563988,7142.440152601541,9370.518091261945
244,LSTM_High_60,"<Sequential name=sequential_73, built=True>",7886.536269929079,10088.286893407558,7405.026456909668,9572.17711834766
245,GRU_High_60,"<Sequential name=sequential_74, built=True>",7789.102980289537,10012.302600260862,7307.593167104508,9497.003520551185
246,Bidirectional_LSTM_High_60,"<Sequential name=sequential_75, built=True>",7830.526093037833,10044.561562882644,7349.016279992053,9528.913801273276
247,LinearRegression_High_90,LinearRegression(),51.720831925428655,83.80633800810683,49.204647140864466,81.59071448164079
248,Ridge_High_90,Ridge(),51.72083191017827,83.80633800810685,49.204647081309204,81.59071458620694
249,Lasso_High_90,Lasso(),155.78511438342588,235.26064773317106,152.26410286835286,223.21937865790827
250,RandomForest_High_90,RandomForestRegressor(),20.835221617279498,34.20224905922882,52.02041492776887,87.7063476616975
251,GradientBoosting_High_90,GradientBoostingRegressor(),53.62047372241448,76.74998583739054,65.66337212675957,99.9772480278865
252,SVR_High_90,SVR(),3685.557621879296,5569.7890393873895,3576.6852513399726,5391.33823387753
253,KNN_High_90,KNeighborsRegressor(),36.929139593002496,58.769966157340505,48.79014446227931,74.20484820380837
254,XGBoost_High_90,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             feature_weights=None, gamma=None, grow_policy=None,
             importance_type=None, interaction_constraints=None,
             learning_rate=None, max_bin=None, max_cat_threshold=None,
             max_cat_to_onehot=None, max_delta_step=None, max_depth=None,
             max_leaves=None, min_child_weight=None, missing=nan,
             monotone_constraints=None, multi_strategy=None, n_estimators=None,
             n_jobs=None, num_parallel_tree=None, ...)",27.00518614262693,37.23149950590324,65.920275584997,109.63280745997324
255,LightGBM_High_90,LGBMRegressor(verbosity=0),41.525462522177754,60.25738873373724,56.99230554551237,87.92284935112488
256,RNN_High_90,"<Sequential name=sequential_76, built=True>",7637.185730949056,9886.910077157194,7336.704670933316,9591.141871398693
257,LSTM_High_90,"<Sequential name=sequential_77, built=True>",7867.3043984780525,10065.727171155679,7566.823338597086,9768.294754230883
258,GRU_High_90,"<Sequential name=sequential_78, built=True>",7808.884080653546,10020.132512103151,7508.403020887545,9723.110761489921
259,Bidirectional_LSTM_High_90,"<Sequential name=sequential_79, built=True>",7815.216694349666,10025.068424641024,7514.735634665697,9728.00177730729
260,LinearRegression_High_120,LinearRegression(),51.78261611784349,83.48351221993421,51.55371569128839,81.08695112697629
261,Ridge_High_120,Ridge(),51.78261600367798,83.48351221993431,51.55371535222858,81.08695074292656
262,Lasso_High_120,Lasso(),166.16324052588737,244.41492694365195,162.7069953275616,248.98158671513187
263,RandomForest_High_120,RandomForestRegressor(),20.625777488789133,34.35583383958436,54.177432258064215,85.61813720488539
264,GradientBoosting_High_120,GradientBoostingRegressor(),54.38903909904219,77.71696005310405,63.47090613674968,93.39944542967596
265,SVR_High_120,SVR(),3691.7715990622396,5565.226805512138,3670.3008663543874,5494.329222348786
